Timestamp,Pressure (psi),Temperature (°C),Oil Flow (L/min),Vibration (mm/s),Power Status,Oil Level (%),Tool RPM (rpm),Machine Status,Current (A)
17-09-2023 00:00,45.2,29.8,2.4,0.021,ON,73.5,1505,Running,10.3
17-09-2023 00:00,48.2,28.8,3.4,0.031,ON,70.5,1805,Running,11.3
17-09-2023 00:01,45.1,29.9,2.5,0.022,ON,73.3,1508,Running,10.4
17-09-2023 00:01,48.1,28.9,3.5,0.032,ON,70.3,1808,Running,11.4
17-09-2023 00:02,45.3,30,2.6,0.023,ON,73.2,1512,Running,10.5
17-09-2023 00:02,48.3,29,3.6,0.033,ON,70.2,1812,Running,11.5
17-09-2023 00:03,45,30.1,2.7,0.024,ON,73.1,1515,Running,10.6
17-09-2023 00:03,48,29.1,3.7,0.034,ON,70.1,1815,Running,11.6
17-09-2023 00:04,45.4,30.2,2.8,0.025,ON,73,1518,Running,10.7
17-09-2023 00:04,48.4,29.2,3.8,0.035,ON,70,1818,Running,11.7
17-09-2023 00:05,45.2,30.3,2.9,0.026,ON,72.8,1521,Running,10.8
17-09-2023 00:05,48.2,29.3,3.9,0.036,ON,69.8,1821,Running,11.8
17-09-2023 00:06,45.5,30.4,3,0.027,ON,72.7,1525,Running,10.9
17-09-2023 00:06,48.5,29.4,4,0.037,ON,69.7,1825,Running,11.9
17-09-2023 00:07,45.3,30.5,2.9,0.026,ON,72.6,1528,Running,11
17-09-2023 00:07,48.3,29.5,3.9,0.036,ON,69.6,1828,Running,12
17-09-2023 00:08,45.6,30.6,2.8,0.025,ON,72.5,1531,Running,11.1
17-09-2023 00:08,48.6,29.6,3.8,0.035,ON,69.5,1831,Running,12.1
17-09-2023 00:09,45.4,30.7,2.7,0.024,ON,72.3,1534,Running,11.2
17-09-2023 00:09,48.4,29.7,3.7,0.034,ON,69.3,1834,Running,12.2
17-09-2023 00:10,45.7,30.8,2.6,0.023,ON,72.2,1538,Running,11.3
17-09-2023 00:10,48.7,29.8,3.6,0.033,ON,69.2,1838,Running,12.3
17-09-2023 00:11,45.5,30.9,2.5,0.022,ON,72.1,1541,Running,11.4
17-09-2023 00:11,48.5,29.9,3.5,0.032,ON,69.1,1841,Running,12.4
17-09-2023 00:12,45.8,31,2.4,0.021,ON,72,1544,Running,11.5
17-09-2023 00:12,48.8,30,3.4,0.031,ON,69,1844,Running,12.5
17-09-2023 00:13,45.6,31.1,2.3,0.02,ON,71.8,1547,Running,11.6
17-09-2023 00:13,48.6,30.1,3.3,0.03,ON,68.8,1847,Running,12.6
17-09-2023 00:14,45.9,31.2,2.2,0.019,ON,71.7,1550,Running,11.7
17-09-2023 00:14,48.9,30.2,3.2,0.029,ON,68.7,1850,Running,12.7
17-09-2023 00:15,45.7,31.3,2.1,0.018,ON,71.6,1553,Running,11.8
